PID,Title,Description,Identifier,Format,Type,Access rights statement,Copyright statement,Relationship,Digital URI,ILMS Identifier,ILMS URI,Creator/Contributor,Date,Location,Accession number
210634,"Oblique View Of North Side Of Bourke Street Showing Dumbrell, Public Benefit Bootery, Coles And Royal Arcade","The Royal Arcade was opened in 1870 and is MelbourneÃ¯Â¿Â½s oldest arcade, designed by Charles Webb. The arcade features statues of the mythical characters Gog and Magog on either side of GauntÃ¯Â¿Â½s Clock, installed by Thomas Gaunt who established Melbourne's leading watchmaking, optical and jewellery business. Royal Arcade offers boutique shopping beneath an elegant glass ceiling. The high, graceful arches reflect the European influence in the building.",cr000230,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/212208,1746495,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1746495,,1930/1939,"""-37.81409836,144.9640045"", 331 Bourke",H86.77/20
2357521,"Alexandra Avenue, Melbourne","Foldout postcard comprising 15 images. -- Title taken from cover, not captured. -- Published by The Valentine & Sons Publishing Co. Ltd; Melbourne -- Flinders-street.--Swanston-street.--Collins-street.--View from Wellington-parade.--Alexandra-avenue.--F",b30377,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/2357963,1707465,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1707465,,1911/1917,,H40638
503289,"Flinders Street Railway Station, Melbourne","Flinders Street Station was designed by JW Fowcett and GPG Ashworthand was  finally completed in 1910.  Electric trains began arriving and departing in 1919. Flinders Street is now MelbourneÃ¢â‚¬â„¢s busiest station and one of the cityÃ¢â‚¬â„¢s most iconic buildings, used by over 100,000 people every day. The clocks across the arch, part of the original design, show the times of departing trains, and continue to be a popular meeting place for Victorians. In 2013 the State Government announced a billion dollar refurbishment, to include a water-front amphitheatre and a market whilst still retaining the iconic dome and arched entrance.",fc000520,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/503934,2068245,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER2068245,"Victorian Railways, photographer.",1920/1940,"-37.8176384,144.9671783, 195 Flinders street, Melbourne, Cnr Flinders street & Swanston Street, Melbourne",H2010.76/5
628464,"Interior Views Of Plaza Theatre, Collins Street, Melbourne","Title assigned from inscriptions on envelopes. -- Undated but circa 1940s. -- Negative numbers inscribed in negatives: F957-2, F957-3, F957-4, F957-5, F957-8, F957-9, F957-10, F957-11, F957-12, F957-14, F957-15, F957-16, F957-17, F957-18, F957-19, F957-20",is003840,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/628609,2044462,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER2044462,"Commercial Photographic Co., photographer.",1940/1949,,H2009.177/24
2973067,"Melbourne Seabrook House, 573 Lonsdale St., Melbourne","Title and date inscribed by photographer on verso. -- Photographer's stamp on verso. -- Exterior views of bluestone two storey building, arched windows on lower level, parapet along roofline.",jc019348,image/jpg,StillImage,Use of this work allowed provided the creator and SLV acknowledged.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/2974323,1699044,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1699044,"Collins, John T. 1907-2001 , photographer.",1973-02-10,,H98.252/1021
3079086,"The Alfred Hospital, Commercial Road, Melbourne","Part of Folding souvenir of Melbourne, 17 artistic, up-to-date views of public buildings (series no. 4) Title printed top of cover,  with The Oanco printed above the title. Also printed on cover is a Kookaburra sitting on a branch. -- Also printed top right of cover: One Penny will carry this anywhere in Commonwealth British Empire & Foreign Countries, le",pi006827,image/jpg,"StillImage,Postcards",No copyright restrictions apply.,This work is out of copyright,Victorian state schools and students Series No. 4,http://api.slv.vic.gov.au/access_record/3080293,1807041,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1807041,,1920/1929,"Commercial Road, Melbourne",H2008.12/120
2974829,"City Court. Cnr. Russell And La Trobe Sts., Melbourne","The Old Supreme Court was built in 1842 on the present site of the City Court, Melbourne.The Supreme Court was used for Licensing and the Court of Petty Sessions from 1884 to 1911. ",jc019657,image/jpg,StillImage,Use of this work allowed provided the creator and SLV acknowledged.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/2976050,1700363,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1700363,"Collins, John T. 1907-2001 , photographer.",1963-12-25,"""-37.808601, 144.96589"", 325 Russell",H98.252/1333
3077620,"Princes Bridge Hotel, Swanston Street, Melbourne","Young and Jackson Hotel - This site was originally the home of Melbourne pioneer John Batman.  The current building laid its foundations in 1853 and became the Young and Jackson Hotel in 1875. Owners Henry Young and Thomas Jackson, both from New Zealand, then commissioned architect John Flannagan to make further alterations.  A well-known, popular public house, its reputation grew in 1908 when Young purchased a large female nude oil painting, titled Chloe, by Frenchman Jules Lefebvre. This generated much publicity for the hotel and Chloe is still on display today.",a14146,image/jpg,"StillImage,Gelatin silver prints",No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/3078375,1718549,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1718549,,1864/1950,"""-37.817322, 144.967091"", 1 Swanston",H9254
932956,Melbourne Post Office And Post Office Club Hotel,"Behind the Melbourne General Post Office on Elizabeth Street was the Telegraph Office,  which later became 'The Old Tin Shed' - a general automotive parts store for Allan W Taylor & Co. ",pi011465,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/933431,2100310,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER2100310,"Kent, Bob, 1909?- compiler.",1946,"""-37.813668, 144.96262"", 207 Elizabeth",H2010.120/2
347231,"Spencer Street East Between Collins Street And Flinders Lane, Melbourne, Vic.","BatmanÃ¯Â¿Â½s Hill Hotel - This hotel is named after Melbourne pioneer John Batman. This area was once a hill, where Batman lived with his family. It was levelled for Southern Cross Station. The Hotel was designed by the firm Greenwood Bradbury & Allen, with construction finished in 1928. It features a classical Greek cornice balconies and second floor balconette with wrought iron detailing.",dc000100,image/jpg,StillImage,Use of this work allowed provided the creator and SLV acknowledged.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/348165,1852544,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1852544,"Halla, K. J., photographer.",1967,"""-37.819989, 144.954469"", 66-70 Spencer",H36133/100
2618525,"Melbourne Public Library (later State Library Of Victoria), Southern Portion Of Swanston Street Frontage","The competition to design the State Library of Victoria was won by Joseph Reed, the architect of many of Melbourne's notable buildings. The first Library building opened in February 1856, during the Victorian gold rush. The building, which is in fact made up of 23 buildings, takes up an entire city block. It has also housed, for a time, the Museum and National Gallery of Victoria. Highlights include the grand portico, the spectacular domed La Trobe Reading Room and the splendid Redmond Barry Reading Room. A fully history of the Library is available online.",mp012627,image/jpg,"StillImage,Albumen prints",No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/2618795,1787258,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1787258,,1857/1863,"""-37.81000137,144.9649963"", 328 Swanston",H4324
1082892,Melbourne Mint,"The Melbourne Mint was opened in 1872. Modelled after the PalazzoÃ¯Â¿Â½Vidoni-CaffarelliÃ¯Â¿Â½in Rome, the original plans by Ward & Comber called for a building three storey high and almost double the width of the building we see today. However William Wardell, the Inspector-General of Public Works, was instructed to reduce costs, so architect John James Clark modified the plans to a more restrained two storeys. From 1916 to the 1960s, most of the coins produced in Australia were created on this site. After decimal currency was introduced in the late 1960s, and the Commonwealth Mint in Canberra was opened, there was no longer a need for a mint in Melbourne. The building is now home to the Hellenic Museum. ",wa000057,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/1083390,1808243,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1808243,"Wardell, Edward Stanfield, photographer.   W. H. Cooper.",1906,"""-37.81221771, 144.957077"", 280 William",H2008.2/58
500368,"The Athenaeum Hall, Melbourne Advertising A Lecture By Rev. Haskett Smith","The Athenaeum, designed by Smith and Johnson, began life as the Mechanics Institute in 1839. In 1873 a public lending library was introduced and it still operates there today. The building was completed in 1886. It was converted into a cinema in 1924 when it premiered talking pictures in Australia. Today it is used for plays, musicals and every year it hosts the Melbourne International Comedy festival.",a16976,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/500727,1698140,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1698140,"Rudd, Charles 1849-1901 photographer.",1892/1900,"""-37.81483841, 144.9672546"", 188 Collins",H39357/240
276680,"Melbourne - Federal Coffee Palace, Collins Street W.","The Federal Coffee Palace stood at the corner of Collins and King Streets - once the largest hotel in Australia. It was built in 1888 as a temperance hotel, at a cost of Ã‚Â£154,000. It went broke, along with many other Melbourne businesses and re-opened in 1923 with an alcohol licence, as the Federal Hotel.  It contained over 400 bedrooms, billiards rooms and dining room, with a sign over the entrance which read RESTEZ ICI. SOYEZ LE BIENVENU (Ã¢â‚¬Å“Stay here. YouÃ¢â‚¬â„¢ll be welcomeÃ¢â‚¬ï¿½). Sadly, it was demolished in 1973 for office accommodation.",is002446,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/277653,1888878,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1888878,"Lindt, J. W. (John William), 1845-1926, photographer.   Rechberg, Adam, 1869-1945, compiler.",1891/1897,"Cnr Collins street & King street, Melbourne, 539 Collinst street, Melbourne, -37.81863403, 144-9562988",H2009.48/19
2357524,Melbourne University,"Photographic Souvenir Of Melbourne. Foldout postcard comprising 15 images. , Title taken from cover, not captured. Published by The Valentine & Sons Publishing Co. Ltd. Melbourne. Including view from Flinders street, Swanston street, Collins street, View from Wellington parade and Alexandra avenue",b30380,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/2357966,1707465,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1707465,,1911/1917,,H40638
367816,"Collins St, Melbourne","Foldout postcard comprising 15 images. -- Title taken from cover, not captured. -- Published by The Valentine & Sons Publishing Co. Ltd; Melbourne -- Flinders-street.--Swanston-street.--Collins-street.--View from Wellington-parade.--Alexandra-avenue.--F",cg000031,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/369139,1750202,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1750202,"Bennett, Herbert Percival, photographer.",1891/1897,"""-37.817044, 144.963204"", 333 Collins",H15549/26
3077616,"Temple Court, Melbourne","Temple Court was built in 1924 and designed by Grainger, Little, Barlow & Hawkins. This twelve floor inter-war building was built for the Collins Street legal fraternity. Inspired by an Italian palazzo, it features corbusian and arched windows, balcony and attic.",b46905,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/3078373,1710432,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1710432,"Lindt, J. W. (John William) 1845-1926 photographer.",1876/1894,"""-37.817137, 144.960121"", 422-428 Collins",H42502/12
2039655,"Looking West Bourke St., Melbourne,","At 283 Bourke Street was the Melba Theatre, a picture theatre, which opened in 1911. It showed continuous performances from 11am to 11pm. Patrons could come and go through the day, paying three pence or six pence. The Liberty Theatre replaced it in 1939 and the Odeon in 1951.",pc003326,image/jpg,"StillImage,Postcards",No copyright restrictions apply.,This work is out of copyright,Viewfolders Victoria. H-O.; Kookaburra series.,http://api.slv.vic.gov.au/access_record/2040132,1774350,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1774350,,1911/1918,"""-37.814091, 144.965161"", 283 Bourke",H98.116/1
2039667,Loongana leaving Melbourne,"17 postcard views in a booklet. -- Printed on cover l.c.:Buildings, Streets & Parks. -- Printed by The Speciality Press Pty. Ltd., 189 little Collins St., Melbourne. -- PRINCES BRIDGE MELBOURNE--BOURKE ST. MELBOURNE, LOOKING WEST.--ON THE BLOCK COLLINS",pc003338,image/jpg,"StillImage,Postcards",No copyright restrictions apply.,This work is out of copyright,Viewfolders Victoria. H-O.; Kookaburra series.,http://api.slv.vic.gov.au/access_record/2040185,1774350,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1774350,,1911/1918,,H98.116/1
2575088,Flinders Street Looking East,View east along Flinders Street possibly from the area of Victoria Dock.,pi003951,image/jpg,"StillImage,Albumen prints",No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/2575270,1795739,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1795739,,1870/1880,"""-37.820064, 144.954702"", SW cnr Flinders & Spencer",H2006.56/11
3077652,The Railway Station Offices At Spencer-street: The Commissioner's Plans.,"The Victorian Railways Headquarters was built in 1887 and opened in 1893. The building was designed by Victorian Railways Department Engineering Office and was to be built of bluestone but was constructed of brickwork with stucco due to high costs. Until 1985 the building was home to the Victorian Railways. Originally comprising a basement and three floors, a fourth floor was added in 1912 and then an attic in 1922. The size of the building reflects VictoriaÃ¢â‚¬â„¢s expanding railway network in the 1880s.",mp009824,image/jpg,"StillImage,Wood engravings",No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/3078391,1777607,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1777607,,1886-06-01,"67 Spencer Street, Melbourne, -37.81999969, 144.954483",A/S01/06/86/89
2357523,Melbourne Town Hall,"Photographic Souvenir Of Melbourne. Foldout postcard comprising 15 images. , Title taken from cover, not captured. Published by The Valentine & Sons Publishing Co. Ltd. Melbourne. Including view from Flinders street, Swanston street, Collins street, View from Wellington parade and Alexandra avenue",b30379,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/2357965,1707465,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1707465,,1911/1917,,H40638
628460,"Interior Views Of Plaza Theatre, Collins Street, Melbourne","Title assigned from inscriptions on envelopes. -- Undated but circa 1940s. -- Negative numbers inscribed in negatives: F957-2, F957-3, F957-4, F957-5, F957-8, F957-9, F957-10, F957-11, F957-12, F957-14, F957-15, F957-16, F957-17, F957-18, F957-19, F957-20",is003836,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/628603,2044462,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER2044462,"Commercial Photographic Co., photographer.",1940/1949,,H2009.177/24
510463,"Leviathan Corner, Bourke Street, Melbourne","The Leviathan was designed by Bates, Peebles & Smart and completed in 1913. The Leviathan Clothing Store was the first large clothing department store established in the centre of Melbourne. The original white faÃ¯Â¿Â½ade and elegant detailing beneath the windows highlight this Edwardian design.",cf002020,image/jpg,"StillImage,Lantern slides",No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/511124,1762342,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1762342,"Harvey, John Henry 1855-1938 photographer.",1915/1921,"""-37.813434, 144.965256"", 274 Bourke",H92.150/274
2693333,Custom House Melbourne,"Customs House was originally designed by Knight and Kerr and was completed in 1858. Subsequent designs by Johnson, Clark and Kerr, were completed in 1876. Its construction reflected MelbourneÃ¯Â¿Â½s burgeoning economy following the goldrush and the influx of imports. A typical example of MelbourneÃ¯Â¿Â½s public buildings of the time, its four columns reflect the Italian Renaissance style.  On the first floor is the majestic Long Room, which now acts as the main exhibition space for the Immigration Museum.",is006917,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/2696684,1796165,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1796165,"Nettleton, Charles 1826-1902, photographer.   Clark, John James 1838-1915, architect.",1885/1887,"""-37.819139, 144.960366"", 400 Flinders",H98.168/1
2039660,Exhibition Building Melbourne,"Artistic Melbourne Views, Part of a 17 postcard views in a booklet. -- Printed on cover l.c.:Buildings, Streets & Parks. -- Printed by The Speciality Press Pty. Ltd., 189 little Collins St., Melbourne.",pc003331,image/jpg,"StillImage,Postcards",No copyright restrictions apply.,This work is out of copyright,Viewfolders Victoria. H-O.; Kookaburra series.,http://api.slv.vic.gov.au/access_record/2040154,1774350,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1774350,,1911/1918,,H98.116/1
500917,"Queensland Building. 88 William St., Melbourne"," The Queensland building was built in 1913 and designed by Walter Butler and Richard Norman Bradshaw.  This brick and sandstone six storey building was the headquarters of the Queensland Insurance Company.  Butler was influenced by the English Arts and Craft movement, which applied detailed decoration to buildings. On the ground floor of the Queensland building you can see carved images of flowers and fruit.  Another feature of this Edwardian classic is the semi- circular matching bays windows, which rise to a pair of balconettes .",jc019429,image/jpg,StillImage,Use of this work allowed provided the creator and SLV acknowledged.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/508071,1700034,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1700034,"Collins, John T. 1907-2001 , photographer.",1978-12-30,"""-37.817168, 144.959167"", 88 William",H98.252/1104
336767,"Argyll House, 415-417 Lonsdale Street, Melbourne","Argyll House was established in 1849. To the left is Bell's Asbestos & Engineering at 411 Lonsdale Street, and E R Collis Manufacturers agent at 413 Lonsdale Street. To the right is Linehan & Shrimpton Booksellers.",pi009830,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/337777,2010462,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER2010462,"Commercial Photographic Co., photographers.",1930/1949,"""-37.812826, 144.960169"", 417 Lonsdale",H2009.185/19
