Title,Description,Identifier,Format,Type,Access rights statement,Copyright statement,Collection,Digital URI,ILMS Identifier,ILMS URI,Contributor/Creator,Date,Location,Accession number,Notes
"Spencer Street East, Melbourne, Victoria",Closer view of the Australian Hotel.,dc000180,JPG,Image,Use of this work allowed provided the creator and SLV acknowledged. No known copyright restrictions apply.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,"Halla collection of negatives. Views of East Melbourne, Fitzroy, Melbourne & North Melbourne.","http://api.slv.vic.gov.au/access_record/348237
",1855756,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1855756,"Halla, K. J.",1967/1968,"Spencer Street, Melbourne, Victoria",H36133/180,
"Fish Creek hotel, unidentified man, almost half length, to left and down, smiling, wearing hat",Exterior views of two story building with statue of large fish adorning the roofline.,ed000422,JPG,Image,Use of this work allowed provided the creator and SLV acknowledged. No known copyright restrictions apply.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Phillip Rogers' collection of photographs.,"http://api.slv.vic.gov.au/access_record/336339
",1897757,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1897757,"Rogers, Phillip",1970/1996,"Fish Creek, Victoria",H2009.52/422,"Phillip Rogers was born in 1949; from an early age he was a keen amateur photographer; as a young man he collaborated with his friend Martin Brennan to set up a folk/country music club called One-c-one, operating out of a disused community hall in back lane, North Carlton; he worked as a real estate agent and property investment advisor often photographing properties or developments he was involved with; he enjoyed the documentary aspect of photography - the urban landscape, the absurdities or ugliness of modern life, as well as it's beauty. This collection of his photographs Includes views of country Victorian social life, landscapes and urban scenes, captured on a Rollieflex SLR, printed by photographer."
"Fish Creek hotel, unidentified man, almost half length, to left and down, smiling, wearing hat",Exterior views of two story building with statue of large fish adorning the roofline.,ed000423,JPG,Image,Use of this work allowed provided the creator and SLV acknowledged. No known copyright restrictions apply.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Phillip Rogers' collection of photographs.,"http://api.slv.vic.gov.au/access_record/336341
",1897757,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1897757,"Rogers, Phillip",1970/1996,"Fish Creek, Victoria",H2009.52/423,"Phillip Rogers was born in 1949; from an early age he was a keen amateur photographer; as a young man he collaborated with his friend Martin Brennan to set up a folk/country music club called One-c-one, operating out of a disused community hall in back lane, North Carlton; he worked as a real estate agent and property investment advisor often photographing properties or developments he was involved with; he enjoyed the documentary aspect of photography - the urban landscape, the absurdities or ugliness of modern life, as well as it's beauty. This collection of his photographs Includes views of country Victorian social life, landscapes and urban scenes, captured on a Rollieflex SLR, printed by photographer."
"Fish Creek hotel, unidentified man, almost half length, to left and down, smiling, wearing hat",Exterior views of two story building with statue of large fish adorning the roofline.,ed000424,JPG,Image,Use of this work allowed provided the creator and SLV acknowledged. No known copyright restrictions apply.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Phillip Rogers' collection of photographs.,"http://api.slv.vic.gov.au/access_record/336340
",1897757,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1897757,"Rogers, Phillip",1970/1996,"Fish Creek, Victoria",H2009.52/424,"Phillip Rogers was born in 1949; from an early age he was a keen amateur photographer; as a young man he collaborated with his friend Martin Brennan to set up a folk/country music club called One-c-one, operating out of a disused community hall in back lane, North Carlton; he worked as a real estate agent and property investment advisor often photographing properties or developments he was involved with; he enjoyed the documentary aspect of photography - the urban landscape, the absurdities or ugliness of modern life, as well as it's beauty. This collection of his photographs Includes views of country Victorian social life, landscapes and urban scenes, captured on a Rollieflex SLR, printed by photographer."
"Elizabeth Street East, Melbourne, Victoria","View from Corner of Elizabeth Street: Little Bourke Street north Looking across intersection towards three storey corner hotel with pedimented windows on second level and attic dormer windows, sign along roof reads Post Office Hotel ; building adjoining ""A. C. Mence Pty Ltd."" .",dc000487,JPG,Image,Use of this work allowed provided the creator and SLV acknowledged. No known copyright restrictions apply.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,"Halla collection of negatives. Views of East Melbourne, Fitzroy, Melbourne & North Melbourne.",http://api.slv.vic.gov.au/access_record/327104,1982366,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1982366,"Halla, K. J.",1972,"Elizabeth Street, Melbourne",H36133/487,
"Corner of Queen Street east and Flinders Street north, Melbourne, Victoria"," Looking across intersection towards two storey corner hotel, shutters on upper windows, traffic policeman in intersection directing traffic.",dc000524,JPG,Image,Use of this work allowed provided the creator and SLV acknowledged. No known copyright restrictions apply.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,"Halla collection of negatives. Views of East Melbourne, Fitzroy, Melbourne & North Melbourne.",http://api.slv.vic.gov.au/access_record/325103,2007784,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER2007784,"Halla, K. J.",1972,"Flinders Street, Melbourne, Victoria",H36133/524,"Fox and Hounds, Cnr Queens street and Flinders street, Melbourne"
"Harvest Home Hotel, Avenel, Victoria","Former Harvest Home Hotel, corner of Bank and Sale Yard Rd. Looking towards double storey hotel with wooden railing at upper verandah, corner door with sign in front hanging from upper verandah rail: Harvest Home BYO Restaurant.",jc200070,JPG,Image,Use of this work allowed provided the creator and SLV acknowledged. No known copyright restrictions apply.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,J.T. Collins collection. Photographs.,http://api.slv.vic.gov.au/access_record/3026764,2551982,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER2551982,"Collins, John T.",,"Avenel, Victoria",H2013.6/70,"Avenel is a small town in Victoria where the bush ranger Ned Kelly spent his early life, his father and brothers are buried there."
"Royal Mail Hotel, Avenel, Victoria","Royal Mail Hotel, back view, Old Hume Highway: brick building with pitched corrugated iron roof.",jc200073,JPG,Image,Use of this work allowed provided the creator and SLV acknowledged. No known copyright restrictions apply.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,J.T. Collins collection. Photographs.,http://api.slv.vic.gov.au/access_record/3026769,2551982,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER2551982,"Collins, John T.",,"Avenel, Victoria",H2013.6/73,"Avenel is a small town in Victoria where the bush ranger Ned Kelly spent his early life, his father and brothers are buried there."
"Royal Mail Hotel, Avenel, Victoria",Another view showing windows and door.,jc200074,JPG,Image,Use of this work allowed provided the creator and SLV acknowledged. No known copyright restrictions apply.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,J.T. Collins collection. Photographs.,http://api.slv.vic.gov.au/access_record/3026770,2551982,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER2551982,"Collins, John T.",,"Avenel, Victoria",H2013.6/74,"Avenel is a small town in Victoria where the bush ranger Ned Kelly spent his early life, his father and brothers are buried there."
"Royal Mail Hotel, Avenel, Victoria","Side view showing porch with woman seated near door, pot plants and table on right.",jc200075,JPG,Image,Use of this work allowed provided the creator and SLV acknowledged. No known copyright restrictions apply.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,J.T. Collins collection. Photographs.,http://api.slv.vic.gov.au/access_record/3026772,2551982,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER2551982,"Collins, John T.",,"Avenel, Victoria",H2013.6/75,"Avenel is a small town in Victoria where the bush ranger Ned Kelly spent his early life, his father and brothers are buried there."
"Seymour, Trawool ""Worrough""","Side view of weatherboard building with verandah, wooden posts supporting verandah roof, surrounded by trees and shrubs.",jc200076,JPG,Image,Use of this work allowed provided the creator and SLV acknowledged. No known copyright restrictions apply.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,J.T. Collins collection. Photographs.,http://api.slv.vic.gov.au/access_record/3026773,2551985,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER2551985,"Collins, John T.",1988,"Seymour, Victoria",H2013.6/76,
"Seymour, Trawool ""Worrough""","Two storey section: looking across lawn towards double storey weatherboard building, with enclosed porch, sash windows.",jc200077,JPG,Image,Use of this work allowed provided the creator and SLV acknowledged. No known copyright restrictions apply.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,J.T. Collins collection. Photographs.,http://api.slv.vic.gov.au/access_record/3026774,2551985,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER2551985,,,"Seymour, Victoria",H2013.6/77,
Vale of Avoca - Hotel 1878-1926,"Looking across intersection towards Vale of Avoca Hotel, two storey building with upper verandah name of hotel along palisade at roof.",jc200183,JPG,Image,Use of this work allowed provided the creator and SLV acknowledged. No known copyright restrictions apply.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,J.T. Collins collection. Photographs.,"http://api.slv.vic.gov.au/access_record/3033473
",2563537,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER2563537,"Collins, John T.",1989,"Charlton, Victoria",H2013.6/183,
"Reconstruction of the Clyde Hotel, corner of Cardigan and Elgin Streets, Carlton, for Osmond Smith Esq","Drawings for the renovation of the Clyde Hotel on the SW corner of Elgin and Cardigan Streets Carlton, by Joy & McInture in 1923 and later additions by Robert H. McIntyre in 1940 and a locality plan dated 1955 by Robert H. McIntyre & Associates.",ad000932,JPG,Image,Use of this work allowed provided the creator and SLV acknowledged. No known copyright restrictions apply.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Robert Henry McIntyre Collection - Map inclusion,http://api.slv.vic.gov.au/access_record/3518199,2958052,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER2958052,,1923-1940.,"Elgin Street; Cardigan Street, Carlton, Victoria, Australia",LTAD195/13/1,"The original architect is unknown. The Clyde Hotel first appears in Sands & McDougall Melbourne Directory in 1866, John Graham proprietor. Tenders required for additions to the Clyde Hotel, corner of Cardigan and Elgin Streets, Carlton, see Argus 1.3.1878, p 2.  Another advertisement from G. Ravenscroft, architect: Tenders wanted for small additions & repairs, painting, papering, etc. to the Clyde Hotel, Carlton, for the Union Trustees Co. see Argus 4.10.1886, p 3."
"Reconstruction of the Clyde Hotel, corner of Cardigan and Elgin Streets, Carlton, for Osmond Smith Esq","Drawings for the renovation of the Clyde Hotel on the SW corner of Elgin and Cardigan Streets Carlton, by Joy & McInture in 1923 and later additions by Robert H. McIntyre in 1940 and a locality plan dated 1955 by Robert H. McIntyre & Associates.",ad000933,JPG,Image,Use of this work allowed provided the creator and SLV acknowledged. No known copyright restrictions apply.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Robert Henry McIntyre Collection - Map inclusion,http://api.slv.vic.gov.au/access_record/3518200,2958052,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER2958052,,1923-1940.,"Elgin Street; Cardigan Street, Carlton, Victoria, Australia",LTAD195/13/2,"
The original architect is unknown. The Clyde Hotel first appears in Sands & McDougall Melbourne Directory in 1866, John Graham proprietor. Tenders required for additions to the Clyde Hotel, corner of Cardigan and Elgin Streets, Carlton, see Argus 1.3.1878, p 2. Another advertisement from G. Ravenscroft, architect: Tenders wanted for small additions & repairs, painting, papering, etc. to the Clyde Hotel, Carlton, for the Union Trustees Co. see Argus 4.10.1886, p 3."
"Reconstruction of the Clyde Hotel, corner of Cardigan and Elgin Streets, Carlton, for Osmond Smith Esq","Drawings for the renovation of the Clyde Hotel on the SW corner of Elgin and Cardigan Streets Carlton, by Joy & McInture in 1923 and later additions by Robert H. McIntyre in 1940 and a locality plan dated 1955 by Robert H. McIntyre & Associates.",ad000934,JPG,Image,Use of this work allowed provided the creator and SLV acknowledged. No known copyright restrictions apply.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Robert Henry McIntyre Collection - Map inclusion,http://api.slv.vic.gov.au/access_record/3518201,2958052,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER2958052,,1923-1940.,"Elgin Street; Cardigan Street, Carlton, Victoria, Australia",LTAD195/13/3,"
The original architect is unknown. The Clyde Hotel first appears in Sands & McDougall Melbourne Directory in 1866, John Graham proprietor. Tenders required for additions to the Clyde Hotel, corner of Cardigan and Elgin Streets, Carlton, see Argus 1.3.1878, p 2. Another advertisement from G. Ravenscroft, architect: Tenders wanted for small additions & repairs, painting, papering, etc. to the Clyde Hotel, Carlton, for the Union Trustees Co. see Argus 4.10.1886, p 3."
"Reconstruction of the Clyde Hotel, corner of Cardigan and Elgin Streets, Carlton, for Osmond Smith Esq","Drawings for the renovation of the Clyde Hotel on the SW corner of Elgin and Cardigan Streets Carlton, by Joy & McInture in 1923 and later additions by Robert H. McIntyre in 1940 and a locality plan dated 1955 by Robert H. McIntyre & Associates.",ad000935,JPG,Image,Use of this work allowed provided the creator and SLV acknowledged. No known copyright restrictions apply.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Robert Henry McIntyre Collection - Map inclusion,http://api.slv.vic.gov.au/access_record/3518202,2958052,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER2958052,,1923-1940.,"Elgin Street; Cardigan Street, Carlton, Victoria, Australia",LTAD195/13/4,"
The original architect is unknown. The Clyde Hotel first appears in Sands & McDougall Melbourne Directory in 1866, John Graham proprietor. Tenders required for additions to the Clyde Hotel, corner of Cardigan and Elgin Streets, Carlton, see Argus 1.3.1878, p 2. Another advertisement from G. Ravenscroft, architect: Tenders wanted for small additions & repairs, painting, papering, etc. to the Clyde Hotel, Carlton, for the Union Trustees Co. see Argus 4.10.1886, p 3."
Napier Street Fitzroy from Condell Street to Little Victoria Street - west side,"Looking south from the Fitzroy Town Hall -- Looking south along Napier Street towards the high rise flats -- Renoun Hotel, corner of Gertrude Street -- House numbers 61 and 63, two double storey terrace houses.",ua000046-001,JPG,Image,Use of this work allowed provided the creator and SLV acknowledged. No known copyright restrictions apply.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Committee for Urban Action Collection. Fitzroy.,http://api.slv.vic.gov.au/access_record/3623509,3247520,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER3247520,"Committee for Urban Action, Melbourne, Victoria",1970/1974,"Napier Street, Fitzroy, Victoria",CUAFY47/14,Image 3 - Renoun Hotel
Napier Street Fitzroy from Condell Street to Little Victoria Street - west side,"Renoun Hotel, corner of Gertrude Street.",ua000046-003,JPG,Image,Use of this work allowed provided the creator and SLV acknowledged. No known copyright restrictions apply.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Committee for Urban Action Collection. Fitzroy.,"http://api.slv.vic.gov.au/access_record/3623509
",3247520,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER3247520,"Committee for Urban Action, Melbourne, Victoria",1972/1975,"Fitroy, Victoria",,Part of a photographic survey of inner Melbourne suburbs and country areas in Central Victoria undertaken by the Committee for Urban Action (CUA) from 1970 to 1974.
"Cumberland Hotel, Lorne Victoria","Marine Parade, Lorne,",rg006801,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Rose postcard collection of negatives.,http://api.slv.vic.gov.au/access_record/449961,1643754,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1643754,,1920/1954,"Lorne, Victoria",H32492/6901,
Brighton Beach,"Shows beach scene, and in distance, Railway station, train and Royal Terminus Hotel.",wp003236,JPG,Image,No copyright restrictions apply.,This work is out of copyright,,http://api.slv.vic.gov.au/access_record/1222838,1654208,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1654208,"Burn, H.",1862,"Brighton Beach, Victoria",H301,
"Emerald Hotel, Emerald Hill (later South Melbourne)",First hotel at Emerald Hill. ,wp004293,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Liardet's watercolours of early Melbourne.,http://api.slv.vic.gov.au/access_record/2385460,1655534,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1655534,"Liardet, W. F. E.",1875,"South Melbourne, Victoria",H28250/38,
"Greggs Hotel, South Brighton","Elevated view of  Gregg's Hotel, South Brighton on the Point Nepean Road, between Union and Agnew Street. Shows the hotel buildings, stables and yard with a fountain, horse-drawn carriage in yard; railway line and steam train pulling into North Brighton Station in right background.",wp007240,JPG,Image,No copyright restrictions apply.,This work is out of copyright,,http://api.slv.vic.gov.au/access_record/3144852,1666067,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1666067,"Woodhouse, Clarence",1888,"Brighton, Victoria",H9335,
"The White Hart, Bourke Street East","Exterior view of the hotel on the south-west corner of Bourke and Spring Streets, Melbourne, built for Pieter Laurentz Campbell.  It was demolished in 1960 to make way for a new wing of the Windsor Hotel.",is005616,JPG,Image,No copyright restrictions apply.,This work is out of copyright,,http://api.slv.vic.gov.au/access_record/2510422,1673814,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1673814,"Nettleton, Charles",1860/1870,"Melbourne, Victoria",H629,
"Menzies Hotel, Bourke Street, elevated views of Melbourne buildings","Menzies Hotel, Bourke Street.",nc000649,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Imaging 19th Century Victoria Digitising Project.,http://api.slv.vic.gov.au/access_record/466738,1729140,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1729140,"Nettleton, Charles",1870,"Melbourne, Victoria",H141629/10,
Panorama of Melbourne in 1881 taken from the tower of The Law Courts for the Corporation of The City,"Elevated view of William Street and north west Melbourne showing buildings including Melbourne Temperence Hotel, New Supreme Court Hotel, also Flagstaff Gardens, fenced of grounds of a church lower right, roof of Law Courts left foreground.",nc000673,JPG,Image,No copyright restrictions apply.,This work is out of copyright,,http://api.slv.vic.gov.au/access_record/466756,1729189,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1729189,"Nettleton, Charles",1881,"William Street, Melbourne, Victoria",H853,
"Fyan's Ford and Swan Hotel, Near Geelong",Surrounding vignettes show horse-racing and rowing on the sea.,wp001400,JPG,Image,No copyright restrictions apply.,This work is out of copyright,,http://api.slv.vic.gov.au/access_record/483639,1737836,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1737836,"Calvert, Samuel",1860,"Fyansford, Victoria",H4955/12,
Court House Hotel Smythesdale,,is002587,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Views of Smythesdale and Smythe's Creek 1861.,http://api.slv.vic.gov.au/access_record/292303,1770655,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1770655,Views of Smythesdale and Smythe's Creek 1861.,1861,"Smythesdale, Victoria",H2024,
"Black Hill Hotel, Smythesdale",,is002598,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Views of Smythesdale and Smythe's Creek 1861.,http://api.slv.vic.gov.au/access_record/292314,1770693,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1770693,Views of Smythesdale and Smythe's Creek 1861.,1861,"Smythesdale, Victoria",H2035,
