Title,Description,Identifier,Format,Type,Access rights statement,Copyright Statement,Collection,Digital Uri,ILMS Identifier,ILMS URI,Creator,Date,Location,Physical format
"Melbourne and Metropolitan Board of Works detail plan. 3091, Municipality of Box Hill [cartographic material].","Streets shown include Rutland Road, Box Hill Cemetery, Barcelona Street, Albion Road and Victoria Street.",bw2225,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1958421/oai_set/api_map,1225726,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1225726,Melbourne and Metropolitan Board of Works,1928,"Box Hill, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 3164, Municipality of Camberwell [cartographic material].","Streets shown include Margaret (Howie) Street, Ferndale Road, Summerhill Road, Dillon Grove and Renwick Street.",bw2266,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1972920/oai_set/api_map,1239016,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1239016,Melbourne and Metropolitan Board of Works.,1925,"Glen Iris, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 3450, Municipality of Footscray [cartographic material].","Streets shown include Grainger Road, Geelong Road, Irving (Geelong) Street and Geelong Street Quarry.",bw2388,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1983117/oai_set/api_map,1248718,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1248718,Melbourne and Metropolitan Board of Works.,1928,"West Footscray, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 3783, Municipality of Braybrook [cartographic material].","Streets shown include Sydney Street, Small (Barclay) Street, Talmadge (Talmage) Street, Ferguson Street, Ballarat Road (Western Highway)and Albion Station.",bw2484,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1990696/oai_set/api_map,1255784,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1255784,Melbourne and Metropolitan Board of Works.,1934,"Albion, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 4043, Blackburn & Mitcham [cartographic material].","Streets shown include Gardiners Creek, Alandale Road, McKinnon Street and Wellington Avenue.",bw2573,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1999499/oai_set/api_map,1266294,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1266294,Melbourne and Metropolitan Board of Works.,1938,"Blackburn, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 3970, Municipality of Braybrook [cartographic material].","Streets shown include Devonshire Road, Dickson Street, Gertrude Street, Cooper Street, May Street and Cornwall Road.",bw2550,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1999462/oai_set/api_map,1265796,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1265796,Melbourne and Metropolitan Board of Works.,1934,"Sunshine, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 2783, Municipality of Caulfield [cartographic material].","Streets shown include Glenhuntly Road, Lake Street, El Nido Grove, Garden Avenue and Grange Road.",bw2010,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/2058834/oai_set/api_map,1207897,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1207897,Melbourne and Metropolitan Board of Works,1914,"Carnegie, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works plan, scale 400 feet to 1 inch. no.96 , Brunswick [cartographic material].","Plan showing streets, railway lines and property boundaries., No house or building lots shown on map. Streets shown include  Lrnoo Avenue, Pearson Street, Victoria Street, Cliff Street, Blyth Street, Lygon Street, Brunswick Road East, Brunswick Road West, Fleming Street and Whitby Street.",bw2904,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/2176860/oai_set/api_map,1603642,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1603642,Melbourne and Metropolitan Board of Works.,1933/1950,"Brunswick, Victoria",1 map.
"Melbourne and Metropolitan Board of Works plan, scale 400 feet to 1 inch. no.78 , Malvern [cartographic material].","Plan showing streets, railway lines and property boundaries. Streets shown include Victoria Road, Horace Street, Lakewell Street Maitland Street, Belmont Avenue North, Burke Road andWaverley Road.",bw2889,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/2176897/oai_set/api_map,1603604,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1603604,Melbourne and Metropolitan Board of Works.,1933/1950,"Malvern, Victoria",1 map.
"Melbourne and Metropolitan Board of Works plan, scale 160 feet to 1 inch. no.46 , Prahran, St Kilda and Caulfield [cartographic material].","Plan showing streets, railway lines and property boundaries. Streets shown include  High Street, Kooyong Road, Alma Road, Westbury Street, The Avenue.",bw3054,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/2184465/oai_set/api_map,1597520,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1597520,Melbourne and Metropolitan Board of Works.,1896,"Prahran, Victoria & St. Kilda, Victoria & Caulfield, Victoria",1 map.
"Melbourne and Metropolitan Board of Works plan, scale 160 feet to 1 inch. no.234 , Municipality of Nunawading [cartographic material].","Plan showing streets, railway lines and property boundaries. Streets shown include Orchard Grove, Main Street, Lake Road, Halleys Road, Vernon Street, Blackburn Road.",bw3176,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/2184546/oai_set/api_map,1602588,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1602588,Melbourne and Metropolitan Board of Works.,1931/1939,"Nunawading, Victoria",1 map.
"Melbourne and Metropolitan Board of Works detail plan. 1084, City of Hawthorn [cartographic material].","Streets shown include Barton Street, Yarra Street, Isabella Grove, Copin Grove, Wood Street, Denham Street, Burwood Road.",bw0101,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1497174/oai_set/api_map,1183264,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1183264,Melbourne and Metropolitan Board of Works,1900,"Hawthorn, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan, 783, Borough of Flemington & Kensington [cartographic material].","Streets shown include Abbatoirs Lane, Westbourne Road, Bayswater Road,Smithfield Road.",bw0438,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1730837/oai_set/api_map,1162343,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1162343,Melbourne and Metropolitan Board of Works,1902,"Flemington, Victoria & Kensington, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 1572, Borough of Kew [cartographic material].","Streets shown include Wrixon Street, Barkers Road, Edgevale Road, Fitzwilliam Street, Stansell Street.",bw1035,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1825535/oai_set/api_map,1186141,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1186141,Melbourne and Metropolitan Board of Works.,1903,"Kew, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 1739, Town of Malvern [cartographic material]","Streets shown include High Street, Clarendon Street, Hume Street, William Street, Kooyong Road, James Road, Union Street, The Terrace, Garden Street, Orchard Street.",bw1158,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1826264/oai_set/api_map,1187562,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1187562,Melbourne and Metropolitan Board of Works.,1902,"Armadale, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan, 1935, City of Fitzroy [cartographic material].","Streets shown include St. Georges Road, Holden Street, Barkly Street, Clauscen Street, Miller Street, Pilkington.",bw1340,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1835787/oai_set/api_map,1179219,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1179219,Melbourne and Metropolitan Board of Works.,1905,"Fitzroy North, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 2051, Town of Caulfield [cartographic material].","Streets shown include Map missing section., Neerim Road, Edward Street, Ash Grove, Kambrook Road, Glen Huntly Road, Bambra Road.",bw1489,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1851004/oai_set/api_map,1196551,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1196551,Melbourne and Metropolitan Board of Works,1908,"Caulfield, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 2009, Town of Caulfield [cartographic material].","Streets shown include Glen Eira Road, Hawthorn Road, Alfred Street.",bw1437,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1852427/oai_set/api_map,1196301,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1196301,Melbourne and Metropolitan Board of Works.,1911,"Caulfield, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 2340, Borough of Coburg [cartographic material].","Streets shown include Sheffield Street, Barrow Street, The Grove, Rolls Street, Chambers Street.",bw1722,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1874595/oai_set/api_map,1198765,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1198765,Melbourne and Metropolitan Board of Works,1910,"Coburg, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan, 541, 545, South Melbourne [cartographic material].","Streets shown include Ferrars Place, Draper Street, Park Street West, Montague Street, Bank Street West, Coventry Street, Dorcas Street, Reilly Place, Riordan Place, Emerald Street, Coote Street, Queen Street, Paterson Place, Gladstone Grove, Nixon Place, Baxter Place and Montague Place.",bw1764,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1902476/oai_set/api_map,1167644,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1167644,Melbourne and Metropolitan Board of Works,1895,"South Melbourne, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 2386, Shire of Preston [cartographic material].","Streets shown include Cramer Street, Gower Street, High Street, St. David Street, Bruce Street.",bw1773,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1902719/oai_set/api_map,1199574,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1199574,Melbourne and Metropolitan Board of Works,1910,"Preston, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 2933, Municipality of Coburg [cartographic material].","Streets shown include O'Hea Street, Hatter Street, Eastgate Street, Westgate Street, Bell Street, York Street.",bw2122,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1949196/oai_set/api_map,1217687,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1217687,Melbourne and Metropolitan Board of Works,1930,"Pascoe Vale South, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 3005, Municipality of Camberwell [cartographic material].","Streets shown include Morey Street, Boundary (Warrigal) Road, Thomas Street, Regent Street, Joffre Street, Through Road.",bw2166,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1949240/oai_set/api_map,1220313,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1220313,Melbourne and Metropolitan Board of Works,1929,"Camberwell, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 3036, Municipality of Oakleigh [cartographic material].","Streets shown include Burlington Street, Box Hill (Huntingdale) Road, Henry Street, William Street, Edward Street.",bw2188,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1958349/oai_set/api_map,1220641,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1220641,Melbourne and Metropolitan Board of Works,1926,"Oakleigh, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 3293, Municipality of Preston [cartographic material].","Streets shown include Whitby Street, Barton Street, Epping Road (High Street), Kenilworth Street, Byfield Street, Leamington Street.",bw2334,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1983008/oai_set/api_map,1246060,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1246060,Melbourne and Metropolitan Board of Works.,1926,"Reservoir, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 3723, Municipality of Broadmeadows [cartographic material].","Streets shown include Hayes Road, Williamson Avenue, Glenbervie Road, James Street, Napier Street.",bw2470,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1990668/oai_set/api_map,1254641,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1254641,Melbourne and Metropolitan Board of Works.,1937,"Strathmore, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 3836, Municipality of Nunawading [cartographic material].","Streets shown include Middleborough Road, Park Street, Salisbury Avenue, Hillside Grove (Crescent), Derby Street, Fuchsia Street, Pakenham Street, Myrtle Grove.",bw2494,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1993674/oai_set/api_map,1255826,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1255826,Melbourne and Metropolitan Board of Works.,1946,"Blackburn, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 4211, Municipality of Mordialloc [cartographic material].","Streets shown include Balcombe Road, Davies Street, Florence Street, Milan Street, Como Parade West, Mentone Parade, Station Street.",bw2629,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1999966/oai_set/api_map,1269110,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1269110,Melbourne and Metropolitan Board of Works.,1940,"Mentone, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 4262, Municipality of Mordialloc [cartographic material].","Streets shown include Moorabbin (Warrigul) Road, Second Street, Third Street, Queen Street.",bw2652,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/2010295/oai_set/api_map,1271998,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1271998,Melbourne and Metropolitan Board of Works.,1940,"Parkdale, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 4450, Municipality of Broadmeadows [cartographic material].","Streets shown include Gaffney Street, McCracken Avenue, Railway Parade, Heath Street, Fawkner Road, Ward Avenue, View Street, Auston Crescent, Dinan Street.",bw2726,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/2012734/oai_set/api_map,1286710,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1286710,Melbourne and Metropolitan Board of Works.,1941,"Pascoe Vale, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan, 642, 643, 902, 903 & 905, Melbourne & Melbourne [cartographic material].","Streets shown include Presents some hand coloured features & statement ""Contract No.25 Drawing No.3"", Arthur Street,Queen's Terrace, Queen's Lane, St. Kilda Road, Leopold Street, Armadale Place, Louise Street.",bw0375,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/2040517/oai_set/api_map,1876069,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1876069,Melbourne and Metropolitan Board of Works,1896,"South Yarra, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 2612, Malvern and Camberwell [cartographic material].","Streets shown include High Street, Gardiner Parade, Kerferd Road, Byrne Street, Kerford Road, Best Street, Paran Place.",bw1925,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/2058806/oai_set/api_map,1189790,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1189790,Melbourne and Metropolitan Board of Works,1918,"Camberwell, Victoria Malvern, Victoria Glen Iris, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 2475, Municipality of Heidelberg [cartographic material].","Streets shown include Wingrove Street, Bloomfield Avenue, Heidelberg Road, Arthur Street.",bw1838,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/2062153/oai_set/api_map,1199848,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1199848,Melbourne and Metropolitan Board of Works,1909/1915,"Alphington, Victoria",1 map ; 79 x 130 cm.  Sewerage
